Category: All categories

Time,zombie: (India),marburg virus: (India)
2023-10-02T04,78,0
2023-10-02T05,86,0
2023-10-02T06,100,1
2023-10-02T07,98,0
2023-10-02T08,81,1
2023-10-02T09,68,0
2023-10-02T10,66,0
2023-10-02T11,67,0
2023-10-02T12,64,0
2023-10-02T13,66,0
2023-10-02T14,69,0
2023-10-02T15,87,0
2023-10-02T16,80,0
2023-10-02T17,77,0
2023-10-02T18,66,7
2023-10-02T19,34,0
2023-10-02T20,33,5
2023-10-02T21,36,0
2023-10-02T22,37,0
2023-10-02T23,40,0
2023-10-03T00,42,0
2023-10-03T01,45,0
2023-10-03T02,45,0
2023-10-03T03,50,0
2023-10-03T04,54,0
2023-10-03T05,51,0
2023-10-03T06,46,0
2023-10-03T07,46,1
2023-10-03T08,50,0
2023-10-03T09,53,0
2023-10-03T10,68,0
2023-10-03T11,64,0
2023-10-03T12,58,0
2023-10-03T13,66,2
2023-10-03T14,66,0
2023-10-03T15,79,2
2023-10-03T16,83,0
2023-10-03T17,74,0
2023-10-03T18,63,0
2023-10-03T19,35,0
2023-10-03T20,34,0
2023-10-03T21,43,0
2023-10-03T22,41,1
2023-10-03T23,43,2
2023-10-04T00,44,1
2023-10-04T01,37,0
2023-10-04T02,48,0
2023-10-04T03,50,1
2023-10-04T04,48,1
2023-10-04T05,54,0
2023-10-04T06,51,0
2023-10-04T07,50,<1
2023-10-04T08,53,0
2023-10-04T09,53,0
2023-10-04T10,61,<1
2023-10-04T11,62,0
2023-10-04T12,59,1
2023-10-04T13,64,0
2023-10-04T14,70,0
2023-10-04T15,79,2
2023-10-04T16,80,0
2023-10-04T17,67,0
2023-10-04T18,60,0
2023-10-04T19,24,0
2023-10-04T20,44,2
2023-10-04T21,40,0
2023-10-04T22,38,0
2023-10-04T23,38,0
2023-10-05T00,39,0
2023-10-05T01,44,1
2023-10-05T02,37,0
2023-10-05T03,49,1
2023-10-05T04,49,0
2023-10-05T05,49,0
2023-10-05T06,47,1
2023-10-05T07,42,0
2023-10-05T08,51,0
2023-10-05T09,47,2
2023-10-05T10,54,0
2023-10-05T11,56,0
2023-10-05T12,58,1
2023-10-05T13,64,0
2023-10-05T14,60,1
2023-10-05T15,69,1
2023-10-05T16,67,4
2023-10-05T17,64,0
2023-10-05T18,40,0
2023-10-05T19,36,0
2023-10-05T20,27,8
2023-10-05T21,33,0
2023-10-05T22,33,0
2023-10-05T23,34,0
2023-10-06T00,38,0
2023-10-06T01,39,0
2023-10-06T02,40,0
2023-10-06T03,43,1
2023-10-06T04,47,0
2023-10-06T05,50,0
2023-10-06T06,56,0
2023-10-06T07,43,0
2023-10-06T08,50,0
2023-10-06T09,54,1
2023-10-06T10,58,0
2023-10-06T11,53,0
2023-10-06T12,57,0
2023-10-06T13,61,0
2023-10-06T14,66,0
2023-10-06T15,81,0
2023-10-06T16,73,0
2023-10-06T17,87,0
2023-10-06T18,89,0
2023-10-06T19,39,8
2023-10-06T20,33,2
2023-10-06T21,43,0
2023-10-06T22,42,0
2023-10-06T23,39,0
2023-10-07T00,44,1
2023-10-07T01,51,1
2023-10-07T02,51,0
2023-10-07T03,69,0
2023-10-07T04,80,<1
2023-10-07T05,68,0
2023-10-07T06,63,0
2023-10-07T07,53,0
2023-10-07T08,57,0
2023-10-07T09,59,0
2023-10-07T10,62,0
2023-10-07T11,62,0
2023-10-07T12,60,1
2023-10-07T13,71,1
2023-10-07T14,66,0
2023-10-07T15,90,0
2023-10-07T16,86,0
2023-10-07T17,83,0
2023-10-07T18,72,0
2023-10-07T19,56,0
2023-10-07T20,32,0
2023-10-07T21,38,0
2023-10-07T22,47,0
2023-10-07T23,51,0
2023-10-08T00,64,1
2023-10-08T01,69,0
2023-10-08T02,70,0
2023-10-08T03,81,0
2023-10-08T04,72,0
2023-10-08T05,57,1
2023-10-08T06,57,<1
2023-10-08T07,43,0
2023-10-08T08,40,0
2023-10-08T09,42,0
2023-10-08T10,45,<1
2023-10-08T11,49,0
2023-10-08T12,42,0
2023-10-08T13,63,1
2023-10-08T14,56,1
2023-10-08T15,66,1
2023-10-08T16,69,0
2023-10-08T17,67,0
2023-10-08T18,48,0
2023-10-08T19,50,0
2023-10-08T20,30,4
2023-10-08T21,32,0
2023-10-08T22,27,0
2023-10-08T23,27,0
2023-10-09T00,35,0
2023-10-09T01,38,0
2023-10-09T02,37,0
2023-10-09T03,38,0
